#At time  x process y state arr w total z remain y wait k
At time  0 process 1 started arr 0 total 10 remain 10 wait 0 
At time  10 process 1 finished arr 0 total 10 remain 0 wait 0 TA 10 WTA 1.00
At time  10 process 3 started arr 3 total 4 remain 4 wait 7 
At time  14 process 3 finished arr 3 total 4 remain 1 wait 7 TA 11 WTA 2.75
At time  14 process 6 started arr 8 total 5 remain 5 wait 6 
At time  19 process 6 finished arr 8 total 5 remain 0 wait 6 TA 11 WTA 2.20
At time  19 process 8 started arr 12 total 2 remain 2 wait 7 
At time  21 process 8 finished arr 12 total 2 remain 0 wait 7 TA 9 WTA 4.50
At time  21 process 2 started arr 2 total 6 remain 6 wait 19 
At time  27 process 2 finished arr 2 total 6 remain 0 wait 19 TA 25 WTA 4.17
At time  27 process 4 started arr 5 total 8 remain 8 wait 22 
At time  35 process 4 finished arr 5 total 8 remain 0 wait 22 TA 30 WTA 3.75
At time  35 process 5 started arr 6 total 3 remain 3 wait 29 
At time  38 process 5 finished arr 6 total 3 remain 0 wait 29 TA 32 WTA 10.67
At time  38 process 7 started arr 10 total 12 remain 12 wait 28 
At time  50 process 7 finished arr 10 total 12 remain 0 wait 28 TA 40 WTA 3.33
At time  50 process 9 started arr 14 total 7 remain 7 wait 36 
At time  57 process 9 finished arr 14 total 7 remain 0 wait 36 TA 43 WTA 6.14
At time  57 process 10 started arr 16 total 4 remain 4 wait 41 
At time  61 process 10 finished arr 16 total 4 remain 0 wait 41 TA 45 WTA 11.25
