#At time x allocated y bytes for process z from i to j
At time 1 allocated 256 bytes for process 1 from 0 to 255
At time 2 allocated 512 bytes for process 2 from 512 to 1023
At time 3 allocated 128 bytes for process 3 from 256 to 383
At time 7 freed 128 bytes for process 3 from 256 to 383
At time 8 allocated 128 bytes for process 6 from 256 to 383
At time 12 freed 512 bytes for process 2 from 512 to 1023
At time 12 allocated 64 bytes for process 8 from 384 to 447
At time 12 allocated 512 bytes for process 4 from 0 to 0
At time 14 freed 64 bytes for process 8 from 384 to 447
At time 19 freed 128 bytes for process 6 from 256 to 383
At time 27 freed 512 bytes for process 4 from 0 to 0
At time 27 allocated 384 bytes for process 5 from 0 to 0
At time 30 freed 384 bytes for process 5 from 0 to 0
At time 30 allocated 512 bytes for process 7 from 0 to 0
At time 39 freed 256 bytes for process 1 from 0 to 255
At time 39 allocated 320 bytes for process 9 from 0 to 0
At time 46 freed 320 bytes for process 9 from 0 to 0
At time 46 allocated 256 bytes for process 10 from 0 to 0
At time 50 freed 256 bytes for process 10 from 0 to 0
At time 62 freed 512 bytes for process 7 from 0 to 0
