#At time  x process y state arr w total z remain y wait k
At time  1 process 1 started arr 0 total 10 remain 10 wait 1 
At time  11 process 1 finished arr 0 total 10 remain 0 wait 1 TA 11 WTA 1.10
At time  11 process 3 started arr 3 total 4 remain 4 wait 8 
At time  15 process 3 finished arr 3 total 4 remain 0 wait 8 TA 12 WTA 3.00
At time  15 process 6 started arr 8 total 5 remain 5 wait 7 
At time  20 process 6 finished arr 8 total 5 remain 0 wait 7 TA 12 WTA 2.40
At time  20 process 8 started arr 12 total 2 remain 2 wait 8 
At time  22 process 8 finished arr 12 total 2 remain 0 wait 8 TA 10 WTA 5.00
At time  22 process 2 started arr 2 total 6 remain 6 wait 20 
At time  28 process 2 finished arr 2 total 6 remain 0 wait 20 TA 26 WTA 4.33
At time  28 process 4 started arr 5 total 8 remain 8 wait 23 
At time  36 process 4 finished arr 5 total 8 remain 0 wait 23 TA 31 WTA 3.88
At time  36 process 5 started arr 6 total 3 remain 3 wait 30 
At time  39 process 5 finished arr 6 total 3 remain 0 wait 30 TA 33 WTA 11.00
At time  39 process 7 started arr 10 total 12 remain 12 wait 29 
At time  51 process 7 finished arr 10 total 12 remain 0 wait 29 TA 41 WTA 3.42
At time  51 process 9 started arr 14 total 7 remain 7 wait 37 
At time  58 process 9 finished arr 14 total 7 remain 0 wait 37 TA 44 WTA 6.29
At time  58 process 10 started arr 16 total 4 remain 4 wait 42 
At time  62 process 10 finished arr 16 total 4 remain 0 wait 42 TA 46 WTA 11.50
